id,lemma,result,model_sha256,log_sha256,integrated_log_path
A48-H1,a48_h1_same_child_id_implies_same_lineage,CLEAN_VERIFIED,6a674d76a6c37479a10c727387a9a5771b7557064781ea4411b658e9bf355133,7a3b2b0e6b64e2d8bfca323dce4ca49c267fb78286044a11e4c39645a4a714c1,logs/clean/A48_integrated_H1_H2_H3_final.txt
A48-H2,a48_h2_same_generated_lineage_implies_same_public_tuple,CLEAN_VERIFIED,6a674d76a6c37479a10c727387a9a5771b7557064781ea4411b658e9bf355133,7a3b2b0e6b64e2d8bfca323dce4ca49c267fb78286044a11e4c39645a4a714c1,logs/clean/A48_integrated_H1_H2_H3_final.txt
A48-H3,a48_h3_uncompromised_acceptance_has_generated_origin,CLEAN_VERIFIED,6a674d76a6c37479a10c727387a9a5771b7557064781ea4411b658e9bf355133,7a3b2b0e6b64e2d8bfca323dce4ca49c267fb78286044a11e4c39645a4a714c1,logs/clean/A48_integrated_H1_H2_H3_final.txt
